Time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30
35,0.648,0.960192,1.08,0.480096,0.096192,0.72,0.479808,0.396,0.671904,0.479808,0.690625,-0.73125,1.05625,0.934375,0.325,0,0.4875,-0.40625,0.528125,1.38125,1.8159075,0.990495,1.76088,1.430715,0.66033,1.7058525,0.770385,0.550275,2.091045,1.210605
36,0.072,0.095904,0.432,0.959904,0.239904,0.54,-0.288,-0.108,0.624096,0.960192,0.690625,-0.690625,0.365625,1.21875,0.1625,0.203125,0.73125,0.1625,0.24375,1.015625,1.430715,0.66033,-0.3851925,0.91719837,0.66033,1.2656325,1.3756875,1.430715,1.7058525,0.770385
37,0.648,0.671904,0.072,0.864,-0.095904,0.432,0.528192,0.576,0.864,0.72,0.528125,-1.1375,0.40625,1.340625,-0.325,0.121875,0.56875,0.40625,-0.24375,2.071875,0.9354675,1.1555775,1.10055,0.84368163,1.5957975,1.2656325,1.0455225,2.2011,1.54077,1.4857425
38,0.432,0.672192,0.144,1.103904,0.191808,0.396,-0.576,0.216,0.383904,-0.288,0.040625,0.24375,0.8125,0.65,-0.054145,-0.040625,1.015625,0.771875,-1.625,1.95,0.770385,-0.0550275,2.2011,1.02725337,0.1650825,1.3756875,1.430715,0.6053025,1.10055,1.10055
39,0.216,1.631808,-0.072,1.824192,0.384192,0.216,0.239904,0.648,0.336096,0.576,0.56875,-0.89375,0.365625,0.771875,-0.5416775,0.040625,1.05625,0.934375,0.284375,2.35625,1.98099,-1.430715,-0.3851925,1.210605,0.6053025,0.7153575,1.1555775,2.2561275,0.9354675,0.7153575
40,0.576,0.480096,0.36,0.911808,0.144,0.288,0.288,0.828,0.144,0.432,0.934375,0.40625,-0.08125,0.609375,-0.65,0.528125,0.040625,0.65,0,0.365625,2.1460725,0.3851925,0.44022,1.10055,1.0455225,1.76088,0.9354675,2.4762375,1.1555775,1.1555775
41,0.216,0.576,0.864,0.72,0.239904,1.368,0,-0.036,0.623808,0.095904,0.73125,0.1625,0.24375,0.40625,1.0291775,1.665625,0.975,0.8125,0.284375,1.178125,0.44022,1.4857425,1.2656325,1.90769337,0.990495,0.88044,0.9354675,1.0455225,1.9259625,0.8254125
42,0.288,0.576,0.648,0.336096,0.192096,0.828,0.576,0.468,0.384192,-0.048096,1.015625,0.4875,0.40625,0.4875,0.325,2.68125,0.89375,2.1125,1.421875,0.609375,1.4857425,0.88044,1.7058525,1.10055,1.210605,0.770385,0.770385,0.66033,0.9354675,1.430715
43,0.72,0.959904,0.432,0.480096,0.288,0,3.744,0.18,0.767808,0.096192,0.325,0.365625,1.05625,1.015625,0,1.95,1.665625,1.990625,-0.609375,0.771875,1.98099,0.6053025,1.5957975,1.28390163,1.210605,0.7153575,0.88044,-1.5957975,-0.110055,0.330165
44,1.584,0.768096,-0.072,0.383904,0.191808,-0.108,1.344096,0.72,-0.191808,0.335808,0.771875,-0.040625,1.665625,0.975,-0.325,1.909375,1.1375,1.1375,-0.609375,0.690625,0.4952475,0.770385,1.98099,0.58703337,1.32066,0.66033,0.9354675,0.9354675,0.88044,0.990495
